titel;lage;miete;groesse;preis_qm;long;lati;pricecat
Mainz-Weisenau, vollsanierte EG Wohnung;Blussusstraße 19/21, Weisenau, Mainz;735,67;77;9,554155844;8,2996092;49,9804647;8 bis 10 Euro pro Quadratmeter
Schöne Aussichten!;Am Taubertsberg 4, Hartenberg/Münchfeld, Mainz;610,83;55;11,106;8,25169;49,99807;10 bis 12 Euro pro Quadratmeter
Schöne lichtdurchflutete 1- Zimmer-Wohnung in der Innenstadt;Altstadt, Mainz;250;27;9,259259259;8,269193;49,9987651;8 bis 10 Euro pro Quadratmeter
P & P Sotheby`s International Realty - Penthouse Erstbezug in Top-Lage;Gonsenheim, Mainz;1560;135;11,55555556;8,2039952;50,0016764;10 bis 12 Euro pro Quadratmeter
+++Nachmieter gesucht+++ Schöne drei Zimmer Wohnung in Mainz, Weisenau;Wilhelm-Theodor-Römheld-Straße, Weisenau, Mainz;930;88;10,56818182;8,2899214;49,9810439;10 bis 12 Euro pro Quadratmeter
Möbliertes Apartment mit Internet und Tiefgaragenstellplatz in Mainz - City;Altstadt, Mainz;775;40;19,375;8,269193;49,9987651;15 bis 20 Euro pro Quadratmeter
Schicke 1 Zimmer Wohnung in unmittelbarer Uni Nähe;Backhauhshohl, Bretzenheim, Mainz;510;39;13,07692308;#NV;#NV;12 bis 15 Euro pro Quadratmeter
Helle, moderne Single/City-Wohnung;Flachsmarkt 1, Altstadt, Mainz;650;52;12,5;8,2707059;50,002126;12 bis 15 Euro pro Quadratmeter
Pfiffige 2 Zi. Wohnung in der Neustadt;Colmarstr. 4, Neustadt, Mainz;550;60;9,166666667;8,2533986;50,0070612;8 bis 10 Euro pro Quadratmeter
In einem wunderschönen Neubauhaus, schöne 3ZKB, Einbauküche, Terrasse, Mainz-Altstadt;Gaustr., Altstadt, Mainz;1100;90;12,22222222;8,2677033;49,9959842;12 bis 15 Euro pro Quadratmeter
Zwei Zimmer Wohnung in Mainz, Altstadt;Schießgartenstrasse, Altstadt, Mainz;410;41;10;8,2657826;50,0040903;10 bis 12 Euro pro Quadratmeter
