titel;lage;miete;groesse;preis_qm;long;lati;pricecat
TOP! Moderne 3,5 Zimmer, ideal für eine WG, in Mainz- Weisenau!;Wormserstraße, Weisenau, Mainz;920;102;9,019607843;8,3053899;49,9826171;8 bis 10 Euro pro Quadratmeter
1. Reihe,Top Wohnung mit Garten und Terrasse am Winterhafen;Am Winterhafen, Altstadt, Mainz;2096;131;16;8,2853675;49,9922342;15 bis 20 Euro pro Quadratmeter
Wohnung mit Weitblick- DG Wohnung im Neubaustandard;Freiherr-vom-Stein-Str., Oberstadt, Mainz;936;66;14,18181818;8,2617097;49,9891214;12 bis 15 Euro pro Quadratmeter
Modernes Wohnen in schicker Stadtvilla in der Mainzer-Oberstadt ;Oberstadt, Mainz;1520;103;14,75728155;8,2650536;49,9897898;12 bis 15 Euro pro Quadratmeter
Klein, fein + hochwertig, Ihre 2 Zimmer-Neubau-Wohnung Lerchenberg wartet auf Sie!;Regerstr., Lerchenberg, Mainz;636;55;11,56363636;8,2007957;49,9610565;10 bis 12 Euro pro Quadratmeter
Schicke Terrassenwohnung für gehobene Ansprüche;Hechtsheim, Mainz;1470;140;10,5;8,2674162;49,9592577;10 bis 12 Euro pro Quadratmeter
Alles außer gewöhnlich !! Vier-Zimmer Maisonette im Denkmal in MZ-Gonsenheim;Gonsenheim, Mainz;1265;113;11,19469027;8,2039952;50,0016764;10 bis 12 Euro pro Quadratmeter
Größe trifft auf Komfort, Moderne auf Gemütlichkeit: Die Wohnung in MZ-Gonsenheim;Gonsenheim, Mainz;1230;111;11,08108108;8,2039952;50,0016764;10 bis 12 Euro pro Quadratmeter
*Neubau* Moderne, lichtdurchflutete 4 Zimmer DG-Wohnung mit Holzboden;Im Borner Grund, Marienborn, Mainz;1350;121;11,15702479;8,2299793;49,9619632;10 bis 12 Euro pro Quadratmeter
Wunderschöne helle Dachgeschoss-Wohnung;Weisenau, Mainz;950;90;10,55555556;8,2964095;49,9814465;10 bis 12 Euro pro Quadratmeter
GRANDE BELLEZZA! Luxus-Penthouse mit Galerie im Herzen von Mainz;Altstadt, Mainz;3450;190;18,15789474;8,269193;49,9987651;15 bis 20 Euro pro Quadratmeter
Penthaus mit Südostterrasse in Volksparknähe - Erstbezug!;Wilhelm-Theodor-Römheld-Straße 5, Weisenau, Mainz;1740;136;12,79411765;8,2902092;49,9803744;12 bis 15 Euro pro Quadratmeter
Schöne, zwei Zimmer Wohnung zentral in der Mainzer Altstadt mit Terrasse - WG geeignet!;Augustinerstrasse, Altstadt, Mainz;870;67;12,98507463;8,2749674;49,9967618;12 bis 15 Euro pro Quadratmeter
Erstbezug nach Sanierung-helle Wohnung mit hohen Decken, Einbauküche & Stellplatz -auch WG-geeignet-;Ebersheim, Mainz;830;88;9,431818182;8,2480897;49,9144711;8 bis 10 Euro pro Quadratmeter
Luxus Penthouse-Maisonette mit traumhaftem Fernblick in Mainz, Gonsenheim;Gonsenheim, Mainz;1800;157;11,46496815;8,2039952;50,0016764;10 bis 12 Euro pro Quadratmeter
Allerfeinstes Wohlfühlambiente in direkter Rheinlage in Mainz;Taunusstraße, Neustadt, Mainz;2700;138;19,56521739;8,265181;50,0127386;15 bis 20 Euro pro Quadratmeter
Allerfeinstes Wohlfühlambiente in direkter Rheinlage in Mainz;Taunusstraße, Neustadt, Mainz;2900;145;20;8,265181;50,0127386;mehr als 20 Euro pro Quadratmeter
*** Großzügige Maisonettewohnung mit toller Dachterrasse, Kaminofen, Sauna uvm. ***;Ruländerstrasse 5, Hechtsheim, Mainz;1850;192;9,635416667;8,2880347;49,9675968;8 bis 10 Euro pro Quadratmeter
FAMILIEN(T)RAUM mit 4 Zimmer auf 125 qm, Einbauküche, 2 Bäder - zum Erstbezug!;Wilhelm-Theodor-Römheld-Straße 1, Weisenau, Mainz;1297,66;125;10,38128;8,2901573;49,9804842;10 bis 12 Euro pro Quadratmeter
Loggia, Einbauküche, zwei Bäder und 87 m² perfekt geschnitten! Der Sommer kann kommen!;Wilhelm-Theodor-Römheld-Straße, Weisenau, Mainz;1136,59;87;13,06425287;8,2899214;49,9810439;12 bis 15 Euro pro Quadratmeter
Frühlingserwachen auf 96 qm mit EBK und Südwest-Terrasse zum Erstbezug!;Wilhelm-Theodor-Römheld-Straße 5, Weisenau, Mainz;1007,81;96;10,49802083;8,2902092;49,9803744;10 bis 12 Euro pro Quadratmeter
Hier stimmt alles! Sonne auf der Süd-West-Loggia, kochen mit der neuen EBK, 4 Zimmer auf 108 qm!;Wilhelm-Theodor-Römheld-Straße 1, Weisenau, Mainz;1387,01;108;12,84268519;8,2901573;49,9804842;12 bis 15 Euro pro Quadratmeter
Erstbezug, EBK Gästebad - da kann der Frühling kommen!;Wilhelm-Theodor-Römheld-Straße 5, Weisenau, Mainz;1046,76;80;13,0845;8,2902092;49,9803744;12 bis 15 Euro pro Quadratmeter
Engel & Völkers- Modernes Wohnen im historischen Bauwerk;Gonsenheim, Mainz;1690;170;9,941176471;8,2039952;50,0016764;8 bis 10 Euro pro Quadratmeter
Dachgeschosswohnung im Historischen Gebäude;Hindenburgstr., Neustadt, Mainz;1400;122;11,47540984;8,2593931;50,0083601;10 bis 12 Euro pro Quadratmeter
Exklusive Penthousewohnung umgeben von einer traumhaften DACHTERRASSE;Wilhelm-Theodor-Römheld-Straße 7, Weisenau, Mainz;2490;184;13,5326087;8,2902092;49,9803744;12 bis 15 Euro pro Quadratmeter
Über den Dächern von Mainz ++PENTHOUSE mit Terrasse zum Sonnen, Entspannen und Träumen !!!;Wilhelm-Theodor-Römheld-Straße 7, Weisenau, Mainz;1890;137;13,79562044;8,2902092;49,9803744;12 bis 15 Euro pro Quadratmeter
LEBEN IM GRÜNEN BEREICH - - Geräumige Stadtwohnung im Gartenquartier;Wilhelm-Theodor-Römheld-Straße 7, Weisenau, Mainz;1440;107;13,45794393;8,2902092;49,9803744;12 bis 15 Euro pro Quadratmeter
Ein Traum in Mainz +++ Sonnige Garten-Maisonettewohnung;Wilhelm-Theodor-Römheld-Straße 7, Weisenau, Mainz;1490;143;10,41958042;8,2902092;49,9803744;10 bis 12 Euro pro Quadratmeter
Frisch sanierter Altbau zwischen Hauptbahnhof und Rheinufer;Neustadt, Mainz;1727;157;11;8,2582859;50,0099123;10 bis 12 Euro pro Quadratmeter
Engel & Völkers- Historisches Stadthaus mit Terrassenoase;Altstadt, Mainz;3020;300;10,06666667;8,269193;49,9987651;10 bis 12 Euro pro Quadratmeter
ZU VERMIETEN: 3 ZKBTerrasse in idyllischer Umgebung - Mainz-Laubenheim;Laubenheim, Mainz;1650;120;13,75;8,3132048;49,960694;12 bis 15 Euro pro Quadratmeter
Mainz-Hechtsheim ruhige und gepflegte 3-Zimmer-Wohnung;Hechtsheim, Mainz;767;84;9,130952381;8,2674162;49,9592577;8 bis 10 Euro pro Quadratmeter
Wohnen auf zwei Etagen!;Finthen, Mainz;862;76;11,34210526;8,173984;49,983699;10 bis 12 Euro pro Quadratmeter
Exklusive, helle Maisonette-Wohnung Ortskern Gonsenheim, Dachterrasse, Erstbezug!;Grabenstraße, Gonsenheim, Mainz;1490;130;11,46153846;8,2119407;50,0009603;10 bis 12 Euro pro Quadratmeter
Traumhafte Dachwohnung in Mainz Finthen;Poststr., Finthen, Mainz;750;85;8,823529412;8,17484;49,986259;8 bis 10 Euro pro Quadratmeter
Studiapartment in Mainz-volle Kostenkontrolle mit All-In Miete+Fitness/TV/Learning Lounge on TOP ;Wallstraße 31-37, Hartenberg/Münchfeld, Mainz;347,59;18;19,31055556;8,2488917;50,0033632;15 bis 20 Euro pro Quadratmeter
Studiapartment in Mainz-volle Kostenkontrolle mit All-In Miete+Fitness/TV/Learning Lounge on TOP ;Wallstraße 31-37, Hartenberg/Münchfeld, Mainz;347,59;18;19,31055556;8,2488917;50,0033632;15 bis 20 Euro pro Quadratmeter
YOUNIQ Mainz - Volle Kostenkontrolle mit All-In Miete + Fitness/TV/Learning Lounge on TOP ;Wallstraße 31-37, Hartenberg/Münchfeld, Mainz;462,16;32;14,4425;8,2488917;50,0033632;12 bis 15 Euro pro Quadratmeter
Möblierte Maisonette-Wohnung mit großem Südbalkon und PKW-Stellplatz in Mainz-Drais;An den Weiden 1, Drais, Mainz;500;35;14,28571429;8,1920787;49,9744671;12 bis 15 Euro pro Quadratmeter
"WILLKOMMEN ZUHAUSE | ""PREMIUM"" Appartement am Mainzer Golfclub";Budenheimer Parkallee 9, Budenheim, Mainz-Bingen (Kreis);859;50;17,18;8,1945147;50,0267058;15 bis 20 Euro pro Quadratmeter
WILLKOMMEN ZUHAUSE | Der LOGENPLATZ am Mainzer Golfclub;Budenheimer Parkallee 9, Budenheim, Mainz-Bingen (Kreis);1374;107;12,8411215;8,1945147;50,0267058;12 bis 15 Euro pro Quadratmeter
"WILLKOMMEN ZUHAUSE | Ihr Elegantes ""COMFORT"" Appartement am Mainzer Golfclub";Budenheimer Parkallee 9, Budenheim, Mainz-Bingen (Kreis);784;44;17,81818182;8,1945147;50,0267058;15 bis 20 Euro pro Quadratmeter
5 Zimmer Wohnung mitten im Zentrum zu vermieten;Gau-Algesheim, Mainz-Bingen (Kreis);1190;170;7;8,0173325;49,9584771;6 bis 8 Euro pro Quadratmeter
immobilien-lindstedt.de / GEHOBENES APARTMENT IN BESTLAGE! BÜRO ODER WOHNUNG, ENTSCHEIDEN SIE!;Bingen am Rhein, Mainz-Bingen (Kreis);475;47;10,10638298;7,904596;49,9667396;10 bis 12 Euro pro Quadratmeter
Lichtdurchflutete Wohnung in mediterran bepflanzter Hofreite;Mainzer Straße, Ockenheim, Mainz-Bingen (Kreis);840;115;7,304347826;7,9784369;49,9451845;6 bis 8 Euro pro Quadratmeter
3 ZKB von privat in Gensingen;Gensingen, Mainz-Bingen (Kreis);575;75;7,666666667;7,9283567;49,897792;6 bis 8 Euro pro Quadratmeter
31/2 Zimmer Whg.;Gau-Bischofsheim, Mainz-Bingen (Kreis);900;100;9;8,2764514;49,911535;8 bis 10 Euro pro Quadratmeter
Exklusives Wohnen in attraktiver Lage von Nieder-Olm;Oppenheimer Straße, Nieder-Olm, Mainz-Bingen (Kreis);915;87;10,51724138;8,2012585;49,9013705;10 bis 12 Euro pro Quadratmeter
Attraktive, barrierearme 2,5 ZKBB Whg. in Nieder-Olm! Auf Wunsch bieten wir auch weitere 2 ZKB an!;Pariser Straße 125, Nieder-Olm, Mainz-Bingen (Kreis);837;73;11,46575342;8,2006231;49,907904;10 bis 12 Euro pro Quadratmeter
3 ZKB mit Loggia, Bad mit Wanne und Dusche in Bacharach;Bacharach, Mainz-Bingen (Kreis);580;80;7,25;7,7681136;50,0604184;6 bis 8 Euro pro Quadratmeter
